Country_Region,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio,People_partially_vaccinated,People_fully_vaccinated
Eritrea,470515,7510,0.13267296916022803,1.596123396703612,54049415,52529848
Estonia,64634,862,0.048723784223456676,1.333663396973729,397308,251797
Eswatini,1023013,3939,0.881783092735165,0.38503909529986424,331266,318161
Ethiopia,28733434,146748,0.24993509466384672,195.8011966091531,1614528,1262432
Fiji,47602,304,0.05310091874115951,0.6386286290491996,63742906,63293997
Finland,11995,365,0.002164881879929641,3.042934556065027,8999937,5070306
France,1654797,16805,0.025360934584930727,1.0155324187800678,7909611,7614025
Gabon,24710769,135292,11.102331012594531,182.64767318097154,43384,38152
Gambia,161170,1445,0.06669110807294684,0.8965688403549048,8059262,6079208
Georgia,3309962,29073,0.8297359729768686,0.8783484523387277,3472605,2480075
Germany,14629,220,0.00017592441279950938,1.5038621915373573,519455,341495
Ghana,844989,17545,0.027193721097243922,2.0763583904642546,473926,363774
Greece,36549,442,0.003506553164446205,1.2093354127335905,175526,122181
Grenada,8190,171,0.0727877069650459,2.087912087912088,5236883,4835619
Guatemala,63457,1228,0.0035420034431508643,1.93516869691287,6406339,6192374
Guinea,30655,835,0.002334233268904282,2.72386233893329,309770,290193
Guinea-Bissau,423119,10893,0.21499971036555932,2.5744530498512237,1001097348,852356087
Guyana,1899633,46189,2.415118255591761,2.4314696575601706,199039633,164180156
Haiti,185353,119,0.016255423246747017,0.06420182031043468,64291183,57491956
Holy See,43072176,523753,53241.25587144623,82.23757381819293,10459618,7320887
Honduras,6046072,156217,0.6104302159156627,2.583776706595621,4078066,4022209
Hungary,7220402,141058,0.7474265425165755,1.9536031373322427,6706303,6134827
Iceland,2324847,25209,6.812738461538461,1.0843294203876641,50757410,47899045
India,1516153,7076,0.0010986581031769693,0.46670751566629487,788633,684365
Indonesia,4071484,10695,0.014885310398841204,0.2626806343829424,103134014,101432143
Iran,16349788,163244,0.19465666363700773,100.15552179559432,4755830,4476065
Iraq,129862,2955,0.003228590721964767,2.275492445827109,9480188,9234609
Ireland,7809668,29508,1.5816100948682368,264.66273552934797,11874893,8399317
Israel,1695745,14064,0.19591438594075172,0.8293699819253485,78620,55333
Italy,1394431,19013,0.023062997698316365,1.3634952177626574,902492,821896
Jamaica,323745,5649,0.10933042816651982,1.744891813000973,3416986,3290775
Japan,3080,13,0.000024352358128182244,0.42207792207792205,1525211,1270712
Jordan,228023,3138,0.022348316302628405,1.3761769646044477,1344606,1303737
Kazakhstan,631409,2555,0.033627248910045836,0.40465055138586875,2524596,2215768
Kenya,200992,2991,0.003737904793077348,1.4881189301066708,782175,727528
Kiribati,821602,5759,6.986055133241501,0.7009476607895307,1116709,1084591
Korea, South,1096763,10382,0.02139224648849973,0.9466037785738578,2214303,1140236
Kosovo,32968,697,0.018210682259830333,2.114171317641349,26727,26404
Kuwait,7434,294,0.0017407540879270484,3.9548022598870056,1950355,1874257
Kyrgyzstan,501904,6430,0.07692969135943445,1.2811214893684848,480640,461368
Laos,17163,84,0.0023589949689068438,0.4894249257122881,1185489,1050879
Latvia,1057117,9085,0.560447396408232,0.8594129126671882,1570322,861888
Lebanon,237248,1064,0.03475936063920842,0.4484758564877259,27734588,26616401
Lesotho,64152,1391,0.02994605676643084,2.1682878164359645,398579,383925
Liberia,85767,2634,0.016957785165007573,3.0711112665710587,1380453,1020334
Libya,4443318,35536,0.6466500380496405,125.03708914903197,475312,468022
Liechtenstein,179171,298,4.6980884705141985,0.1663215587343934,,
Lithuania,30804,731,0.011315469213247225,2.3730684326710816,1559947,1064901
Luxembourg,91427,698,0.1460551203241019,0.7634506218075623,1004794,970109
Madagascar,17,0,6.139174582199377e-7,0.0,85797486,79945002
Malawi,58686,982,0.003067754210608441,1.6733122039327948,28875,25667
Malaysia,220344,990,0.006807885238082262,0.4492974621500926,2272842,2175357
Maldives,5737811,324254,10.614921689711437,17.69542087375946,290446,282471
Mali,11736,57,0.0005795316874356878,0.48568507157464214,24896238,23372622
Malta,920595,2177,2.0849687117106304,0.23647749553278044,14317445,13221530
Marshall Islands,235062,2714,4.024138462328591,1.154589002050523,453191,386483
Mauritania,1164865,16069,0.2505269202479321,1.3794731578337405,22209916,19506642
Mauritius,225379,2201,0.17721721038523566,0.9765772321289916,13462551,12401820
Mexico,158545,4025,0.0012406460903281753,2.5387114068560974,4287594,4089341
Micronesia,978793,11951,8.599859420990203,1.220993611519494,5604596,4398945
Moldova,8226047,22865,2.04237342000005,359.76588672643777,2188727,1547552
Monaco,928837,697,23.668255019875648,1332.6212338593973,22575395,13313220
Mongolia,18491,234,0.005640437154469461,1.2654805040289872,853261,836358
Montenegro,8924,309,0.01420878830433938,3.462572837292694,4334170,4031587
